locale;category_id;name;name_slug;singular_name;singular_name_slug
es_ES;c0bf26b3-6d41-42e4-b3ac-66673d93c8ca;Planchas de Pelo;planchas-de-pelo;;
es_ES;30b6d5e2-584a-415f-b028-b844c1945ae9;Básculas;basculas;;
es_ES;5a81a11d-a354-4e8c-9cd3-9b1248b50709;Secadores de pelo;secadores-de-pelo;;
es_ES;b065fab3-66ee-44f3-8cac-e952bd6ffb4d;Cuidados del cabello;cuidados-del-cabello;;
es_ES;b8c7bb2d-ec77-4853-9d1b-605b4661cd7b;Cuidado Facial y Corporal;cuidado-facial-y-corporal;;
es_ES;7e4962c6-277c-42de-bae4-bc9cead3dab8;Tensiómetros;tensiometros;;
es_ES;3d39675d-adc8-451d-8247-ac5249710265;Mantas Eléctricas;mantas-electricas;;
es_ES;3e30c670-3a19-4ea5-91d0-8995c1f36070;Manicura y Pedicura;manicura-y-pedicura;;
es_ES;7a438d2a-4aef-4548-b019-fe019197286a;Drones RC;drones-rc;;
es_ES;c358d1ec-8c2a-4836-868a-db5e8365a6be;Seguridad y Vigilancia;seguridad-y-vigilancia;;
es_ES;0a3ad7c1-48f5-4dec-8bbb-0aef1a307ef2;Hoverboards;hoverboards;;
es_ES;06c167e6-9d05-42ec-a897-cfce354a842b;Micro Cadenas/Hi-Fi;micro-cadenas-hi-fi;;
es_ES;dc752b41-a538-4453-87e2-cc73d8edbd0e;Accesorios Automóvil;accesorios-automovil;;
es_ES;881f6759-2411-41b8-9caa-a666d86e94bd;Vinotecas;vinotecas;;
es_ES;729afc22-a586-4d5d-9cfb-5e85bf372baa;Planchas, barbacoas y grills;planchas-barbacoas-y-grills;;
es_ES;64cf6e7a-3a2b-463b-a2b8-e910d10ff112;Microondas;microondas;;
es_ES;302b4b65-d6b5-4eea-9b4c-685893ffad5b;Cafeteras;cafeteras;;
es_ES;16f7e6fc-30eb-4088-9139-a554becf7837;Batidoras;batidoras;;
es_ES;7d15c9f3-65f3-49cf-b339-a71215e90d2a;Freidoras;freidoras;;
es_ES;1f52fa33-d6ef-488f-b82d-4569cb6a86cb;Otros Electrodomesticos;otros-electrodomesticos;;
